Type,Title,Location,Bedrooms,Bathrooms,Space,Price
Apartment,Apartment 130 -10% DP-10% Disc-10 Yrs Installments,"Yaru new capital Compound, New Capital Compounds, New Capital City, Cairo",3 bedrooms,2 bathrooms,130 sqm,"1,566,079 EGP"
Penthouse,Fouka Bay roof Chalet with a unique view for sale,"Fouka Bay, Qesm Marsa Matrouh, North Coast",2 bedrooms,3 bathrooms,112 sqm,"3,300,000 EGP"
Apartment,studio for sale in palm hills village gate,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",1 bedroom,1 bathroom,88 sqm,"1,950,000 EGP"
Penthouse,Penthouse for sale Regency Compound Sheikh Zayed,"Zayed Regency, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,192 sqm,"3,300,000 EGP"
Villa,Villa for sale in Hacienda Bay first row golf .,"Hacienda Bay, Sidi Abdel Rahman, North Coast",3 bedrooms,5 bathrooms,326 sqm,"19,000,000 EGP"
Duplex,Duplex prime location in Palm Hills Village Gate,"Palm Hills Village Gate, South Investors Area, New Cairo City, Cairo",3 bedrooms,3 bathrooms,198 sqm,"4,400,000 EGP"
Chalet,1 Bedroom chalet for sale in Marassi Marina 2 .,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,,"5,950,000 EGP"
Apartment,Fully finished apartment with garden without dp,"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",1 bedroom,1 bathroom,72 sqm,"2,805,000 EGP"
Chalet,Best OFFER |Chalet in Lea Marassi For Sale |3 beds,"Marassi, Sidi Abdel Rahman, North Coast",3 bedrooms,2 bathrooms,144 sqm,"3,785,712 EGP"
Townhouse,Al Borouj | Town house middle - Fully finished,"Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",3 bedrooms,3 bathrooms,298 sqm,"6,900,000 EGP"
Land,"Land for sale 315sqm el Nasr street,Masr el gdeda","Al Nasr Rd, Sheraton Al Matar, El Nozha, Cairo",315 sqm,,,"22,000,000 EGP"
Duplex,Duplex Fully Finished With Kitchen ( El Yasmeen1),"El Yasmeen 1, El Yasmeen, New Cairo City, Cairo",4 bedrooms,3 bathrooms,360 sqm,"4,000,000 EGP"
