Type,Title,Location,Bedrooms,Bathrooms,Space,Price
Townhouse,Townhouse 166m for sale in a boutique compound,"Eastshire compound, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,166 sqm,"380,000 EGP"
Twin House,Villette - New cairo | Twin house | Delivered,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bathrooms,410 sqm,,"10,900,000 EGP"
Villa,Prime Villa|Type G| 0% Down Payment|10 Years,"Badya Palm Hills, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,205 sqm,"6,847,000 EGP"
Apartment,"Duplex250m, finished+AC,down payment250000,inst10y","De Joya, New Capital Compounds, New Capital City, Cairo",3 bedrooms,3 bathrooms,250 sqm,"250,000 EGP"
Apartment,"Apartment for Sale in Marassi, Greek - North Coast","Marassi, Sidi Abdel Rahman, North Coast",2 bedrooms,2 bathrooms,144 sqm,"4,219,281 EGP"
Villa,Villas for sale in Taj City Front Mirage City,"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",6 bedrooms,7 bathrooms,712 sqm,"3,000,000 EGP"
Apartment,Finished | Ground + Garden | Overlooking Main Park,"Tag Sultan, Ring Road, Cairo",1 bedroom,2 bathrooms,124 sqm,"2,400,000 EGP"
Villa,Stand alone vgk FULLY FINSHED NEW CAIRO,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,6 bathrooms,360 sqm,"7,900,000 EGP"
Apartment,Garden Apartment Installment 10% Downpayment 7Year,"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",2 bedrooms,2 bathrooms,125 sqm,"2,750,000 EGP"
Villa,فيلا للبيع 288 متر بالشروق على طريق السويس مباشرة,"Maadi View, El Shorouk Compounds, Shorouk City, Cairo",4 bedrooms,5 bathrooms,288 sqm,"590,000 EGP"
Apartment,Apartment 140 corner in mountain view Hyde park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,140 sqm,"2,300,000 EGP"
Duplex,Duplex Ready to move in Eastown New Cairo,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,236 sqm,"2,600,000 EGP"
