Type,Title,Location,Bedrooms,Bathrooms,Space,Price
Apartment,Apartment for sale in new capital fully finished,"Atika, New Capital Compounds, New Capital City, Cairo",3 bedrooms,2 bathrooms,198 sqm,"2,736,000 EGP"
Apartment,Apartment 149m resale in district 5 prime location,"District 5 Residences, El Katameya Compounds, El Katameya, New Cairo City, Cairo",2 bedrooms,2 bathrooms,149 sqm,"2,095,710 EGP"
Apartment,Apartment 160m with Garden and lakes view,"IL Bosco, New Capital Compounds, New Capital City, Cairo",3 bedrooms,3 bathrooms,160 sqm,"2,200,000 EGP"
Villa,Garden Villa 3 Beds for sale in New Cairo,"IL Bosco City, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3 bedrooms,3 bathrooms,219 sqm,"3,500,000 EGP"
Duplex,under market price - Duplex Casa 245m Finished,"Casa, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",3 bedrooms,3 bathrooms,245 sqm,"4,350,000 EGP"
Apartment,Apartment For Sale in Eastown Sodic,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,187 sqm,"3,200,000 EGP"
Townhouse,Your Town house in Silver sands North coast F.F,"Silver Sands, Qesm Marsa Matrouh, North Coast",4 bedrooms,4 bathrooms,153 sqm,"9,500,000 EGP"
Chalet,With 5% DP chalet for sale on the sea Telal Sokhna,"Telal Al Sokhna, Al Ain Al Sokhna, Suez",3 bedrooms,2 bathrooms,125 sqm,"2,850,000 EGP"
Twin House,Own twinhouse in M.V ras alhekma with 10% DP,"Mountain View, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,155 sqm,"6,144,499 EGP"
Villa,Standalone villa|7 years installments| in Alamein,"North Edge Towers, New Alamein City, North Coast",3 bedrooms,3 bathrooms,200 sqm,"3,000,000 EGP"
Apartment,Apartment 192m for sale in o west tulwa,"O West, 6 October Compounds, 6 October City, Giza",3 bedrooms,4 bathrooms,192 sqm,"2,472,683 EGP"
Villa,For Sale in Villette Medium Villa L:800 BUA:360,"Villette, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",5 bedrooms,4 bathrooms,500 sqm,"14,500,000 EGP"
Apartment,Apartment 5 rooms fully finished with Ac 32 floor,"The Gate Towers, New Alamein City, North Coast",5 bedrooms,5 bathrooms,387 sqm,"1,900,000 EGP"
Apartment,For sale Apartment 215 m- mountain view Hyde Park,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,215 sqm,"3,000,000 EGP"
Apartment,apartment for sale in Eastown sodic garden view,"Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,3 bathrooms,192 sqm,"4,700,000 EGP"
Villa,Your villa in Karma 3 in the heart of Sheikh Zayed,"Al Karma 3, 26th of July Corridor, 6 October City, Giza",6 bedrooms,6 bathrooms,800 sqm,"7,500,000 EGP"
