Type,Title,Location,Bedrooms,Bathrooms,Space,Price
Apartment,V.G.K. Palm Hills 174 m - Hot unit,"Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2 bedrooms,2 bathrooms,174 sqm,"2,750,000 EGP"
Townhouse,Own Town house Corner 250m in Hyde park with inst,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,4 bathrooms,250 sqm,"5,800,000 EGP"
Apartment,Apartment with private garden in Fifth Square,"Fifth Square, North Investors Area, New Cairo City, Cairo",3 bedrooms,2 bathrooms,138 sqm,"2,900,000 EGP"
Villa,For Sale IVilla garden 287m at MVHP semi finished,"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",4 bedrooms,3 bathrooms,287 sqm,"5,700,000 EGP"
Chalet,June by Sodic Great Opportunity Chalet Sea View,"June, Ras Al Hekma, North Coast",3 bedrooms,2 bathrooms,138 sqm,"6,200,000 EGP"
Apartment,"3 rooms|550,000 down payment|4 years installment|","Cleopatra Palace, 5th District, Shorouk City, Cairo",3 bedrooms,3 bathrooms,185 sqm,"550,000 EGP"
Apartment,Apartment 3BR with lowest price for sale at Sarai,"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",3 bedrooms,3 bathrooms,164 sqm,"1,275,000 EGP"
Villa,Villa | verona | prime location,"Marassi, Sidi Abdel Rahman, North Coast",5 bedrooms,5 bathrooms,600 sqm,"26,000,000 EGP"
Chalet,Chalet direct on lagoon lowest price in swan lake,"Swan Lake, Qesm Ad Dabaah, North Coast",3 bedrooms,3 bathrooms,220 sqm,"6,000,000 EGP"
Apartment,Apartment 165M Ready To Move ON 9 Yrs In MV,"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3 bedrooms,2 bathrooms,164 sqm,"1,200,000 EGP"
Chalet,Best chalet for sale at marina marassi direct pool,"Marassi, Sidi Abdel Rahman, North Coast",1 bedroom,1 bathroom,72 sqm,"4,700,000 EGP"
Twin House,Twinhouse for sale at Lake West 2 Zayed City,"Lake West, Sheikh Zayed Compounds, Sheikh Zayed City, Giza",5 bathrooms,257 sqm,,"5,300,000 EGP"
Chalet,chalet with Down payment in Fouka Bay North Coast,"Fouka Bay, Qesm Marsa Matrouh, North Coast",3 bedrooms,2 bathrooms,190 sqm,"3,269,000 EGP"
